rank,name,channel_Info,Category,Posts,Followers,Avg. Likes,Eng Rate
162,worldstar,community,entertainment,101.8K,41M,101.81K,0.10%
163,andresiniesta8,male,"Health, Sports & Fitness",2.1K,40.8M,2.09K,0.40%
164,natashawilona12,female,entertainment,1.2K,40.5M,1.24K,0.80%
165,rkive,male,entertainment,120,40.3M,120,15.30%
166,mahi7781,male,"Health, Sports & Fitness",107,40.1M,107,10.90%
167,liverpoolfc,community,"Health, Sports & Fitness",20.5K,39.9M,20.46K,0.50%
168,prattprattpratt,male,entertainment,753,39.9M,753,1.10%
169,addisonraee,male,entertainment,325,39.5M,325,5%
170,wizkhalifa,male,entertainment,37,39.4M,37,0.80%
171,parineetichopra,female,entertainment,1.4K,39.2M,1.35K,0.90%
172,anushkasen0408,female,entertainment,5.5K,39M,5.47K,1.50%
173,chrissyteigen,female,entertainment,5.1K,38.6M,5.11K,0.70%
174,hm,brand,fashion,7.5K,38.5M,7.48K,0.10%
175,wesleysafadao,male,entertainment,9K,38.3M,9.02K,0.30%
176,marvelstudios,community,entertainment,2.8K,38.2M,2.81K,1.30%
177,houseofhighlights,male,"Health, Sports & Fitness",26.9K,37.9M,26.92K,0.80%
178,tyga,,entertainment,27,37.7M,27,1.70%
179,eminem,male,entertainment,721,37.6M,721,2.40%
180,sachintendulkar,male,"Health, Sports & Fitness",1.1K,37.5M,1.07K,1.70%
181,danialves,male,"Health, Sports & Fitness",3.4K,37.4M,3.40K,0.80%
182,gisel_la,female,entertainment,10.2K,37.4M,10.17K,0.20%
183,blakelively,male,entertainment,121,37M,121,5.60%
184,chelseafc,community,"Health, Sports & Fitness",17.3K,36.6M,17.29K,0.60%
185,shahidkapoor,male,entertainment,1.2K,36.6M,1.18K,2.40%
186,kimberly.loaiza,female,entertainment,578,36.6M,578,4.40%
187,toni.kr8s,male,"Health, Sports & Fitness",1K,36.6M,0.97K,1.20%
188,antogriezmann,male,"Health, Sports & Fitness",872,36.4M,872,1.80%
189,mercedesbenz,brand,technology,18.5K,36.4M,18.48K,0.30%
190,nattinatasha,female,entertainment,54,36.1M,54,1.30%
191,tigerjackieshroff,male,entertainment,2.2K,36.1M,2.17K,1.90%
192,lunamaya,female,entertainment,4.2K,36.1M,4.17K,0.20%
193,mancity,male,"Health, Sports & Fitness",19.6K,36M,19.56K,0.40%
194,disney,brand,entertainment,7.7K,35.8M,7.70K,0.30%
195,barackobama,male,News & Politics,743,35.5M,743,1.70%
196,fcbayern,male,"Health, Sports & Fitness",16.8K,35.4M,16.78K,0.60%
197,colesprouse,male,entertainment,1.1K,35.3M,1.14K,3.50%
198,shaymitchell,male,entertainment,6.3K,35.1M,6.31K,1.20%
199,ivetesangalo,female,entertainment,7.8K,35M,7.77K,0.40%
200,paollaoliveirareal,female,entertainment,4.8K,34.9M,4.78K,0.70%
